Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
HM207213,12/1/02 0:01,060XX N ELSTON AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1611,45,6,1134499,,2002,,,
HM204840,3/1/02 0:00,022XX W SUPERIOR ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1313,1,6,1161307,,2002,,,
HM203510,1/1/02 12:00,078XX S SOUTH SHORE DR,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,421,7,6,1197828,,2002,,,
HM202149,2/26/02 13:14,051XX N SHERIDAN RD,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESTAURANT,TRUE,FALSE,2024,48,04A,1168703,,2002,,,
HM200640,10/2/02 10:00,068XX S CHAPPEL AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,331,5,6,1191056,,2002,,,
HM198430,7/8/02 0:01,013XX N KOSTNER AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2534,37,6,1146791,,2002,,,
HM195191,11/16/02 9:00,071XX S ABERDEEN ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,733,17,6,1170216,,2002,,,
HM193022,7/1/02 0:00,036XX S FEDERAL ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,CHA APARTMENT,FALSE,FALSE,211,3,6,1176227,1880781,2002,41.82822098,-87.62894258,"(41.828220982, -87.628942582)"
HM186350,10/19/02 12:00,078XX S SOUTH SHORE DR,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,421,7,6,1197702,,2002,,,
HM184242,7/20/02 12:00,042XX N MOODY AVE,1120,DECEPTIVE PRACTICE,FORGERY,OTHER,FALSE,FALSE,1624,38,10,1134594,,2002,,,
HM165798,9/30/02 9:00,007XX W WILLOW ST,1120,DECEPTIVE PRACTICE,FORGERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1813,43,10,1171259,,2002,,,
HM179494,11/1/02 0:00,007XX N WALLER AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1511,29,6,1138202,,2002,,,
HM175883,8/1/02 10:00,103XX S AVENUE M,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,432,10,6,1201501,,2002,,,
