Case number,Block,IUCR,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,Hour,Weekday,Monthday,Month
98,61,17,8,0,0,1611,45,9,0,6,1,12
97,22,19,8,0,0,1313,1,9,0,4,1,3
96,85,17,1,0,0,421,7,9,12,1,1,1
95,50,15,9,0,0,2024,48,0,13,1,26,2
94,70,17,8,0,0,331,5,9,10,2,2,10
93,13,17,8,0,0,2534,37,9,0,0,8,7
92,74,17,8,0,0,733,17,9,9,5,16,11
91,31,17,3,0,0,211,3,9,0,0,1,7
90,85,17,8,0,0,421,7,9,12,5,19,10
89,38,0,7,0,0,1624,38,1,12,5,20,7
83,7,0,10,0,0,1813,43,1,9,0,30,9
88,6,17,8,0,0,1511,29,9,0,4,1,11
87,93,17,8,0,0,432,10,9,10,3,1,8
86,48,17,8,0,0,2521,31,9,9,1,1,10
85,55,17,8,0,0,811,23,9,12,3,24,10
84,87,17,8,0,0,622,21,9,17,0,16,12
82,46,17,8,0,0,1622,45,9,12,0,1,4
80,56,12,1,0,0,822,14,6,0,2,1,5
81,52,9,8,0,0,2514,31,7,0,1,1,1
79,40,12,0,0,0,2522,30,6,9,5,1,6
78,66,17,7,0,0,825,15,9,8,5,7,9
70,27,9,8,0,0,912,14,7,0,0,1,7
74,92,17,8,0,0,511,6,9,8,4,3,5
77,35,0,1,0,0,1724,33,1,9,1,17,9
76,9,17,8,0,0,1322,1,9,0,5,1,6
75,90,17,8,0,0,632,6,9,15,1,2,4
73,72,2,1,0,0,331,5,2,9,2,2,1
72,23,9,3,0,0,134,3,7,20,4,1,11
71,19,1,4,0,0,1434,32,2,9,1,15,10
69,14,19,13,0,0,132,2,9,9,0,30,12
68,2,17,7,0,0,222,3,9,0,6,1,12
67,11,17,12,0,0,2312,46,9,12,3,10,1
66,83,6,8,0,0,611,17,2,12,6,2,6
65,30,17,8,0,0,1422,26,9,9,5,28,12
64,59,17,8,0,0,1622,45,9,0,3,24,10
63,58,18,8,0,0,711,3,9,12,4,12,4
62,16,17,8,0,0,1433,1,9,0,4,1,11
61,67,17,8,0,0,825,15,9,9,6,6,10
60,42,18,1,0,0,2123,4,9,8,2,2,1
59,26,17,8,0,0,835,18,9,23,2,7,8
58,18,17,8,0,0,2132,5,9,12,6,1,12
57,54,17,8,0,0,915,16,9,1,1,1,1
56,65,0,2,0,0,1611,45,1,12,0,12,8
53,91,17,8,0,0,2213,19,9,9,3,25,4
55,88,18,1,0,0,423,7,9,12,4,1,11
54,79,17,12,0,0,421,7,9,0,1,1,1
51,64,17,1,0,0,825,15,9,17,6,13,1
50,3,17,8,0,0,633,6,9,14,4,1,2
52,12,17,8,0,0,713,16,9,12,2,2,1
49,33,0,6,0,0,1731,38,1,12,3,17,1
48,47,17,8,0,0,815,14,9,0,4,9,8
46,44,17,7,0,0,2132,4,9,9,6,1,12
47,82,14,8,0,0,612,17,8,9,4,1,11
45,68,17,8,0,0,832,15,9,10,4,1,11
43,60,17,1,0,0,824,16,9,9,2,1,5
44,77,11,8,0,0,835,18,6,0,2,25,9
41,4,17,7,0,0,1532,28,9,15,6,1,12
42,95,17,1,0,0,523,34,9,12,2,2,1
40,49,1,7,0,0,813,13,2,9,3,31,10
39,37,3,11,0,0,1912,47,3,12,6,1,12
38,63,17,8,0,0,825,15,9,9,2,31,7
33,8,5,8,0,0,2124,4,2,0,6,7,7
37,0,3,4,0,0,111,2,3,0,5,19,10
36,43,9,8,0,0,2124,4,7,0,6,1,9
34,45,10,8,0,0,2124,4,6,0,1,1,1
35,94,17,1,0,0,2233,34,9,10,2,10,7
32,17,4,8,0,0,1222,25,2,9,4,1,2
31,1,17,8,0,0,1331,27,9,0,4,1,2
30,32,17,8,0,0,212,3,9,0,1,1,1
29,76,17,8,0,0,1613,41,9,10,3,6,6
28,84,17,8,0,0,421,7,9,9,1,1,1
27,30,18,8,0,0,1422,26,9,0,4,1,11
26,78,17,8,0,0,334,7,9,12,2,6,3
25,75,17,8,0,0,333,5,9,9,1,1,10
24,30,18,7,0,0,1422,26,9,0,4,8,3
23,10,1,5,0,0,1833,42,2,0,1,2,7
22,34,18,7,0,0,1722,39,9,0,4,15,11
21,28,14,8,0,0,2113,11,8,15,2,18,9
19,81,17,12,0,0,612,17,9,0,3,12,9
20,15,17,8,0,0,2433,48,9,12,1,1,1
18,89,17,1,0,0,613,21,9,0,1,1,1
16,20,8,1,0,0,2532,37,5,9,3,26,9
17,5,17,8,0,0,631,6,9,0,5,7,9
15,57,17,8,0,0,715,15,9,0,3,5,12
14,69,17,8,0,0,726,15,9,0,1,9,4
13,51,16,8,0,0,822,14,9,0,2,1,5
4,29,17,7,0,0,1732,30,9,15,4,30,8
10,39,7,12,0,0,213,4,4,22,3,22,8
7,71,18,8,0,0,725,17,9,9,4,1,2
3,36,17,8,0,0,1624,38,9,0,4,1,11
11,62,13,8,0,0,812,23,6,0,4,23,8
12,41,17,8,0,0,221,3,9,9,5,9,3
8,80,17,8,0,0,624,8,9,8,0,26,8
9,25,17,8,0,0,2211,19,9,0,5,1,6
2,86,17,8,0,0,414,8,9,0,4,1,11
5,24,17,8,0,0,2413,40,9,12,4,1,11
6,21,9,8,0,0,1333,27,7,0,1,1,1
1,73,17,8,0,0,832,15,9,9,5,1,6
0,53,11,8,0,0,1712,40,6,11,6,1,12
