Block,Location Description,Beat,Ward,Hour,Weekday,Monthday,Month,Violent
060XX N ELSTON AVE,RESIDENCE,1611,45,0,6,1,12,1
022XX W SUPERIOR ST,RESIDENCE,1313,1,0,4,1,3,1
078XX S SOUTH SHORE DR,APARTMENT,0421,7,12,1,1,1,1
051XX N SHERIDAN RD,RESTAURANT,2024,48,13,1,26,2,0
068XX S CHAPPEL AVE,RESIDENCE,0331,5,10,2,2,10,1
013XX N KOSTNER AVE,RESIDENCE,2534,37,0,0,8,7,1
071XX S ABERDEEN ST,RESIDENCE,0733,17,9,5,16,11,1
036XX S FEDERAL ST,CHA APARTMENT,0211,3,0,0,1,7,1
078XX S SOUTH SHORE DR,RESIDENCE,0421,7,12,5,19,10,1
042XX N MOODY AVE,OTHER,1624,38,12,5,20,7,2
007XX W WILLOW ST,"SCHOOL, PUBLIC, BUILDING",1813,43,9,0,30,9,2
007XX N WALLER AVE,RESIDENCE,1511,29,0,4,1,11,1
103XX S AVENUE M,RESIDENCE,0432,10,10,3,1,8,1
049XX W MONTANA ST,RESIDENCE,2521,31,9,1,1,10,1
055XX S MASON AVE,RESIDENCE,0811,23,12,3,24,10,1
081XX S HARVARD AVE,RESIDENCE,0622,21,17,0,16,12,1
049XX N MASON AVE,RESIDENCE,1622,45,12,0,1,4,1
056XX S KEDZIE AVE,APARTMENT,0822,14,0,2,1,5,0
053XX W SCHUBERT AVE,RESIDENCE,2514,31,0,1,1,1,2
042XX W ARMITAGE AVE,ALLEY,2522,30,9,5,1,6,0
064XX S BELL AVE,OTHER,0825,15,8,5,7,9,1
029XX W POPE JOHN PAUL II DR,RESIDENCE,0912,14,0,0,1,7,2
098XX S DR MARTIN LUTHER KING JR DR,RESIDENCE,0511,6,8,4,3,5,1
040XX N MOZART ST,APARTMENT,1724,33,9,1,17,9,2
008XX N MARSHFIELD AVE,RESIDENCE,1322,1,0,5,1,6,1
084XX S ST LAWRENCE AVE,RESIDENCE,0632,6,15,1,2,4,1
069XX S CRANDON AVE,APARTMENT,0331,5,9,2,2,1,2
023XX S STATE ST,CHA APARTMENT,0134,3,20,4,1,11,2
016XX N DAMEN AVE,COMMERCIAL / BUSINESS OFFICE,1434,32,9,1,15,10,2
014XX S WABASH AVE,WAREHOUSE,0132,2,9,0,30,12,1
006XX E 45TH ST,OTHER,0222,3,0,6,1,12,1
008XX W LELAND AVE,STREET,2312,46,12,3,10,1,1
077XX S WOOD ST,RESIDENCE,0611,17,12,6,2,6,2
033XX W POTOMAC AVE,RESIDENCE,1422,26,9,5,28,12,1
059XX N ELSTON AVE,RESIDENCE,1622,45,0,3,24,10,1
058XX S LOWE AVE,RESIDENCE,0711,3,12,4,12,4,1
015XX N GREENVIEW AVE,RESIDENCE,1433,1,0,4,1,11,1
064XX S WASHTENAW AVE,RESIDENCE,0825,15,9,6,6,10,1
046XX S LAKE PARK AVE,APARTMENT,2123,4,8,2,2,1,1
028XX W 84TH PL,RESIDENCE,0835,18,23,2,7,8,1
016XX E 55TH ST,RESIDENCE,2132,5,12,6,1,12,1
054XX S SEELEY AVE,RESIDENCE,0915,16,1,1,1,1,1
063XX N MILWAUKEE AVE,BANK,1611,45,12,0,12,8,2
096XX S CHARLES ST,RESIDENCE,2213,19,9,3,25,4,1
082XX S MARQUETTE AVE,APARTMENT,0423,7,12,4,1,11,1
075XX S COLES AVE,STREET,0421,7,0,1,1,1,1
062XX S WESTERN AVE,APARTMENT,0825,15,17,6,13,1,1
006XX E 89TH ST,RESIDENCE,0633,6,14,4,1,2,1
012XX W 63RD ST,RESIDENCE,0713,16,12,2,2,1,1
038XX N KILBOURN AVE,GROCERY FOOD STORE,1731,38,12,3,17,1,2
049XX S KARLOV AVE,RESIDENCE,0815,14,0,4,9,8,1
048XX S CHICAGO BEACH DR,OTHER,2132,4,9,6,1,12,1
077XX S LAFLIN ST,RESIDENCE,0612,17,9,4,1,11,2
065XX S MAPLEWOOD AVE,RESIDENCE,0832,15,10,4,1,11,1
059XX S CAMPBELL AVE,APARTMENT,0824,16,9,2,1,5,1
073XX S KEDZIE AVE,RESIDENCE,0835,18,0,2,25,9,0
006XX N LARAMIE AVE,OTHER,1532,28,15,6,1,12,1
120XX S HARVARD AVE,APARTMENT,0523,34,12,2,2,1,1
050XX W 63RD ST,OTHER,0813,13,9,3,31,10,2
041XX N WESTERN AVE,SMALL RETAIL STORE,1912,47,12,6,1,12,2
061XX S ROCKWELL ST,RESIDENCE,0825,15,9,2,31,7,1
008XX E DREXEL SQUARE DR,RESIDENCE,2124,4,0,6,7,7,2
002XX S WACKER DR,COMMERCIAL / BUSINESS OFFICE,0111,2,0,5,19,10,2
047XX S INGLESIDE AVE,RESIDENCE,2124,4,0,6,1,9,2
048XX S KENWOOD AVE,RESIDENCE,2124,4,0,1,1,1,0
110XX S NORMAL AVE,APARTMENT,2233,34,10,2,10,7,1
015XX W 17TH ST,RESIDENCE,1222,25,9,4,1,2,2
003XX N FRANCISCO AVE,RESIDENCE,1331,27,0,4,1,2,1
037XX S DR MARTIN LUTHER KING JR DR,RESIDENCE,0212,3,0,1,1,1,1
071XX W BERWYN AVE,RESIDENCE,1613,41,10,3,6,6,1
078XX S COLES AVE,RESIDENCE,0421,7,9,1,1,1,1
033XX W POTOMAC AVE,RESIDENCE,1422,26,0,4,1,11,1
074XX S SOUTH SHORE DR,RESIDENCE,0334,7,12,2,6,3,1
071XX S JEFFERY BLVD,RESIDENCE,0333,5,9,1,1,10,1
033XX W POTOMAC AVE,OTHER,1422,26,0,4,8,3,1
008XX N RUSH ST,GOVERNMENT BUILDING/PROPERTY,1833,42,0,1,2,7,2
040XX N KEYSTONE AVE,OTHER,1722,39,0,4,15,11,1
030XX S PRINCETON AVE,RESIDENCE,2113,11,15,2,18,9,2
077XX S ADA ST,STREET,0612,17,0,3,12,9,1
014XX W ELMDALE AVE,RESIDENCE,2433,48,12,1,1,1,1
084XX S MORGAN ST,APARTMENT,0613,21,0,1,1,1,1
016XX N LINDER AVE,APARTMENT,2532,37,9,3,26,9,2
007XX E 81ST ST,RESIDENCE,0631,6,0,5,7,9,1
056XX S SEELEY AVE,RESIDENCE,0715,15,0,3,5,12,1
066XX S WOLCOTT AVE,RESIDENCE,0726,15,0,1,9,4,1
051XX S SAWYER AVE,RESIDENCE,0822,14,0,2,1,5,1
033XX N HAMLIN AVE,OTHER,1732,30,15,4,30,8,1
042XX S CHAMPLAIN AVE,STREET,0213,4,22,3,22,8,2
068XX S HERMITAGE AVE,RESIDENCE,0725,17,9,4,1,2,1
040XX N PARKSIDE AVE,RESIDENCE,1624,38,0,4,1,11,1
060XX S MEADE AVE,RESIDENCE,0812,23,0,4,23,8,0
045XX S INDIANA AVE,RESIDENCE,0221,3,9,5,9,3,1
076XX S GREENWOOD AVE,RESIDENCE,0624,8,8,0,26,8,1
024XX W 104TH ST,RESIDENCE,2211,19,0,5,1,6,1
079XX S RIDGELAND AVE,RESIDENCE,0414,8,0,4,1,11,1
023XX W GLENLAKE AVE,RESIDENCE,2413,40,12,4,1,11,1
018XX W WASHINGTON BLVD,RESIDENCE,1333,27,0,1,1,1,2
070XX S ARTESIAN AVE,RESIDENCE,0832,15,9,5,1,6,1
054XX N SPAULDING AVE,RESIDENCE,1712,40,11,6,1,12,0
